wv,spd
360,0.095860153
361,0.098253071
362,0.101312347
363,0.104596637
364,0.107763767
365,0.110570386
366,0.111946248
367,0.112523839
368,0.112747714
369,0.112793334
370,0.113184832
371,0.113742091
372,0.114333332
373,0.114953242
374,0.115853205
375,0.116778925
376,0.117481798
377,0.117819026
378,0.117005222
379,0.115486242
380,0.113774508
381,0.112083547
382,0.110907465
383,0.110219233
384,0.109924391
385,0.110075124
386,0.111074969
387,0.112698026
388,0.11457932
389,0.116560608
390,0.117641531
391,0.118274301
392,0.11937692
393,0.121316344
394,0.125418037
395,0.131420046
396,0.138376459
397,0.146032929
398,0.15430069
399,0.162830308
400,0.171122313
401,0.17881012
402,0.184768766
403,0.188996688
404,0.192346454
405,0.194991618
406,0.197182566
407,0.199063569
408,0.200674251
409,0.202130631
410,0.203806579
411,0.205751166
412,0.207588792
413,0.209231064
414,0.21043928
415,0.211140901
416,0.211566284
417,0.211755037
418,0.211872458
419,0.211964309
420,0.211776614
421,0.211234391
422,0.209990636
423,0.207911149
424,0.205618024
425,0.203301191
426,0.201203778
427,0.199539274
428,0.198344514
429,0.197752997
430,0.198136106
431,0.199785575
432,0.202075973
433,0.204867169
434,0.207998157
435,0.211310342
436,0.214736134
437,0.218161017
438,0.221326396
439,0.223939493
440,0.226458788
441,0.228966832
442,0.231663525
443,0.234825626
444,0.238001108
445,0.241092965
446,0.243953571
447,0.246374577
448,0.248527527
449,0.250403434
450,0.251964271
451,0.253111094
452,0.254025131
453,0.254757881
454,0.255382568
455,0.256048054
456,0.256621867
457,0.257098526
458,0.257478684
459,0.257798076
460,0.257980198
461,0.257998079
462,0.257804811
463,0.257140756
464,0.256347626
465,0.255506933
466,0.254705399
467,0.254167229
468,0.253763765
469,0.253516048
470,0.253445148
471,0.25372076
472,0.254157305
473,0.254717022
474,0.25536257
475,0.256291002
476,0.257147312
477,0.257790118
478,0.25808683
479,0.257380456
480,0.256229579
481,0.254758567
482,0.253053755
483,0.25102064
484,0.248976707
485,0.247105703
486,0.245571554
487,0.245108351
488,0.245175958
489,0.245598421
490,0.24628678
491,0.247306406
492,0.248384744
493,0.249331534
494,0.249986947
495,0.24968572
