wv,spd
360,0.260642111
361,0.266905576
362,0.274864584
363,0.283327878
364,0.291366696
365,0.298313826
366,0.30112958
367,0.301659673
368,0.301210582
369,0.300316721
370,0.300627202
371,0.301539689
372,0.302606404
373,0.303783745
374,0.305645168
375,0.307548821
376,0.308866411
377,0.309224039
378,0.30648005
379,0.301879823
380,0.296851933
381,0.292002648
382,0.288932741
383,0.287395865
384,0.286906749
385,0.287499815
386,0.289792925
387,0.293358803
388,0.297539175
389,0.302019119
390,0.30454725
391,0.306212336
392,0.30917421
393,0.314325571
394,0.3249726
395,0.340424448
396,0.358268231
397,0.377832294
398,0.398851931
399,0.420421779
400,0.441267729
401,0.460442305
402,0.474954456
403,0.484840184
404,0.492437243
405,0.498253554
406,0.503128231
407,0.50744313
408,0.511128962
409,0.514445841
410,0.518253565
411,0.522656441
412,0.526770771
413,0.530380964
414,0.53291589
415,0.53419745
416,0.534764349
417,0.534703791
418,0.534363806
419,0.533844292
420,0.532624006
421,0.530552447
422,0.526857853
423,0.52125448
424,0.515184999
425,0.50910449
426,0.503576219
427,0.499103278
428,0.495829105
429,0.494093806
430,0.49484688
431,0.498833716
432,0.504450917
433,0.511337876
434,0.519064367
435,0.527208209
436,0.535650909
437,0.54411757
438,0.552001715
439,0.558618546
440,0.565010428
441,0.571355462
442,0.578113973
443,0.585931122
444,0.593699157
445,0.601164281
446,0.607919216
447,0.613372982
448,0.618085086
449,0.622068346
450,0.625273287
451,0.627520144
452,0.62922883
453,0.630541682
454,0.631671071
455,0.633074224
456,0.634298325
457,0.635301173
458,0.63604182
459,0.636484742
460,0.636576653
461,0.636272192
462,0.635479748
463,0.633617043
464,0.631489217
465,0.629301369
466,0.627272785
467,0.626002967
468,0.625115335
469,0.624647617
470,0.624637604
471,0.625454664
472,0.626675069
473,0.628205359
474,0.62995249
475,0.63247174
476,0.634792507
477,0.636534452
478,0.637341797
479,0.635416865
480,0.632303894
481,0.628353477
482,0.623811483
483,0.618530631
484,0.613259494
485,0.608455777
486,0.604534209
487,0.603394449
488,0.60361737
489,0.604732215
490,0.606494963
491,0.608890831
492,0.611402988
493,0.613636792
494,0.615242898
495,0.614717841
496,0.61303097
497,0.610660136
498,0.607803643
499,0.604563892
500,0.601243973
501,0.598117173
502,0.595429003
503,0.594277561
504,0.594026089
505,0.594187498
506,0.594571471
507,0.59508574
508,0.595444143
509,0.595364153
510,0.594603121
511,0.591755867
512,0.587634087
513,0.583193839
514,0.578839481
515,0.575538218
516,0.573220193
517,0.57166326
518,0.570946515
519,0.571655869
520,0.573484063
521,0.575890183
522,0.578645647
523,0.581252098
524,0.583662331
525,0.586010695
526,0.588241339
527,0.590255618
528,0.592023015
529,0.593549728
530,0.594808638
531,0.59583962
532,0.596581519
533,0.596901655
534,0.596725523
535,0.595615804
536,0.593643188
537,0.591358781
538,0.588958383
539,0.586805284
540,0.585042536
541,0.583557129
542,0.582414389
543,0.5818609
544,0.581917346
545,0.582298279
546,0.582923114
547,0.583785057
548,0.584792495
549,0.585712194
550,0.586401701
551,0.586481631
552,0.585818589
553,0.584794641
554,0.583475471
555,0.581940413
556,0.580256522
557,0.578457296
558,0.576596022
559,0.574847937
560,0.573296249
561,0.571676135
562,0.569920361
563,0.567815244
564,0.565234005
565,0.562524021
566,0.559772015
567,0.557065845
568,0.55449295
569,0.552136302
570,0.550081253
571,0.548499107
572,0.547534943
573,0.546995878
574,0.546866834
575,0.547292948
576,0.548392594
577,0.549601436
578,0.55070889
579,0.55161649
580,0.552225232
581,0.551913857
582,0.550327361
583,0.546446264
584,0.539150178
585,0.530657947
586,0.521509469
587,0.512306154
588,0.503668427
589,0.495885164
590,0.489410043
591,0.485190094
592,0.484414369
593,0.485392779
594,0.487848759
595,0.491515845
596,0.496134579
597,0.501381338
598,0.506963611
599,0.512502551
600,0.517544985
601,0.522218347
602,0.526370704
603,0.529751599
604,0.532007217
605,0.533491075
606,0.534219265
607,0.534115374
608,0.532993138
609,0.531360507
610,0.529395998
611,0.527345538
612,0.525544822
613,0.523800433
614,0.522168696
615,0.520807445
616,0.520020604
617,0.519287407
618,0.518474936
619,0.517384589
620,0.515721262
621,0.51372689
622,0.511391222
623,0.508578956
624,0.504959285
625,0.501253724
626,0.497691095
627,0.494609535
628,0.492532462
629,0.491029263
630,0.490114301
631,0.489900053
632,0.490673304
633,0.491844505
634,0.493231803
635,0.494674027
636,0.496046871
637,0.497040868
638,0.497432649
639,0.496816933
640,0.494477481
641,0.49129495
642,0.487406045
643,0.482908428
644,0.477840126
645,0.472564965
646,0.467294306
647,0.46229592
648,0.457912505
649,0.454042703
650,0.450794429
651,0.448315054
652,0.44679594
653,0.446138024
654,0.446380198
655,0.447678179
656,0.450291842
657,0.4536843
658,0.45770061
659,0.462281346
660,0.4674353
661,0.472560406
662,0.477349937
663,0.48122412
664,0.483456254
665,0.484951735
666,0.485819012
667,0.486180067
668,0.486161619
669,0.485815614
670,0.485230982
671,0.484569579
672,0.484004855
673,0.483340353
674,0.482564926
675,0.481857628
676,0.481393903
677,0.480464637
678,0.478810579
679,0.475911081
680,0.471308172
681,0.465620935
682,0.458908558
683,0.450925201
684,0.441561669
685,0.431813926
686,0.422088027
687,0.412968427
688,0.404927135
689,0.397866756
690,0.39200294
691,0.388098925
692,0.386473328
693,0.385934711
694,0.386152983
695,0.386430383
696,0.386432648
697,0.386684775
698,0.387198001
699,0.387909919
700,0.38884294
701,0.390163481
702,0.391946703
703,0.394800246
704,0.39864257
705,0.402534962
706,0.406120777
707,0.409432292
708,0.411944419
709,0.412633955
710,0.410849243
711,0.404061049
712,0.392670631
713,0.378915459
714,0.363477111
715,0.346815854
716,0.329762369
717,0.313304752
718,0.298272312
719,0.287275285
720,0.279764622
721,0.27434504
722,0.270722985
723,0.268006355
724,0.266423255
725,0.266349673
726,0.267848521
727,0.271170437
728,0.276197106
729,0.282805443
730,0.29095307
731,0.301425278
732,0.313310027
733,0.32583648
734,0.338521868
735,0.350063562
736,0.36090824
737,0.37120527
738,0.380884796
739,0.389896452
740,0.398146749
741,0.405552834
742,0.412035584
743,0.417163938
744,0.421311975
745,0.424601883
746,0.427113891
747,0.429549128
748,0.431142211
749,0.431675702
750,0.430985987
751,0.430113375
752,0.427084059
753,0.421183258
754,0.4113217
755,0.393112659
756,0.371894807
757,0.348814249
758,0.324759185
759,0.299736261
760,0.277099729
761,0.258705378
762,0.248038188
763,0.250642806
764,0.259385049
765,0.273081422
766,0.290751159
767,0.311447859
768,0.333180726
769,0.354478359
770,0.372445405
771,0.384948909
772,0.394782752
773,0.40209347
774,0.406657517
775,0.40863511
776,0.409021854
777,0.408310741
778,0.407845974
779,0.407781065
780,0.407084435
