wv,spd
360,0.175983489
361,0.180286765
362,0.185022518
363,0.189713612
364,0.193933561
365,0.197306469
366,0.197886303
367,0.196960136
368,0.195458174
369,0.193799719
370,0.193430215
371,0.193722442
372,0.194191396
373,0.194724277
374,0.195359081
375,0.195836797
376,0.195901737
377,0.195360333
378,0.192900464
379,0.189353272
380,0.185665846
381,0.182264864
382,0.180493116
383,0.179992005
384,0.180182829
385,0.180965632
386,0.182230175
387,0.18388465
388,0.185841322
389,0.188006386
390,0.189253554
391,0.190237507
392,0.192184046
393,0.19564335
394,0.202940971
395,0.213462189
396,0.225325391
397,0.237929925
398,0.250431657
399,0.262369722
400,0.2735039
401,0.283398509
402,0.29047823
403,0.294855833
404,0.297927707
405,0.300069839
406,0.302060276
407,0.304121822
408,0.305929661
409,0.307558686
410,0.309316963
411,0.311218798
412,0.312894613
413,0.314234436
414,0.314927697
415,0.314885616
416,0.31442377
417,0.313603103
418,0.312663645
419,0.311675072
420,0.310280085
421,0.308376431
422,0.305394351
423,0.301129788
424,0.296678334
425,0.292393029
426,0.288848877
427,0.286497176
428,0.285051614
429,0.284629405
430,0.285657197
431,0.288458019
432,0.292161971
433,0.296530306
434,0.301232666
435,0.305949003
436,0.31076023
437,0.315540612
438,0.32000941
439,0.323849112
440,0.327550232
441,0.33119902
442,0.335040092
443,0.339421928
444,0.343708813
445,0.347744435
446,0.351266325
447,0.353884518
448,0.356006205
449,0.357659757
450,0.358838886
451,0.359464794
452,0.359792501
453,0.359922498
454,0.360014319
455,0.360433757
456,0.360779673
457,0.36099726
458,0.361016631
459,0.360682875
460,0.36011377
461,0.359306604
462,0.35823524
463,0.356624126
464,0.354902834
465,0.353195876
466,0.351638347
467,0.350644439
468,0.34991172
469,0.349441886
470,0.349236637
471,0.34946385
472,0.349894166
473,0.35046351
474,0.351108164
475,0.352061182
476,0.352856994
477,0.353300303
478,0.353206992
479,0.351500601
480,0.349173039
481,0.346477449
482,0.343602091
483,0.340740889
484,0.338075012
485,0.33578968
486,0.334070832
487,0.333974749
488,0.334612548
489,0.335651278
490,0.336890787
491,0.338007689
492,0.338948339
493,0.339593381
494,0.339799166
495,0.338817447
496,0.337195456
497,0.33522293
498,0.333043188
499,0.330829859
500,0.328693181
501,0.326752663
502,0.325136691
503,0.324474305
504,0.324375957
505,0.324540019
506,0.324839026
507,0.325119138
508,0.32527855
509,0.325214416
510,0.324813306
511,0.323359877
512,0.3212865
513,0.319100261
514,0.317022681
515,0.315665185
516,0.314920664
517,0.314576477
518,0.314628631
519,0.315254122
520,0.316311061
521,0.317574233
522,0.318929821
523,0.320089787
524,0.321057618
525,0.321954101
526,0.322777152
527,0.323584139
528,0.324337602
529,0.324948728
530,0.325375378
531,0.325528592
532,0.325389951
533,0.324991018
534,0.324322522
535,0.323193789
536,0.321668148
537,0.320048988
538,0.318462133
539,0.317194432
540,0.316320986
541,0.315670848
542,0.315244466
543,0.315104395
544,0.315235764
545,0.315518618
546,0.315903366
547,0.316377878
548,0.316886872
549,0.317303181
550,0.317545682
551,0.317375183
552,0.316716701
553,0.315839231
554,0.31480065
555,0.313708305
556,0.312624842
557,0.311489701
558,0.310314894
559,0.309164166
560,0.308062226
561,0.306885928
562,0.305596024
563,0.304045856
564,0.302152514
565,0.300181061
566,0.298205167
567,0.296319842
568,0.294610739
569,0.293086737
570,0.291797847
571,0.290861189
572,0.290373445
573,0.290167421
574,0.290214717
575,0.290606678
576,0.291414559
577,0.29219985
578,0.292788029
579,0.292993635
580,0.292631328
581,0.29156664
582,0.289639205
583,0.286272675
584,0.280827463
585,0.274754673
586,0.268454283
587,0.262451947
588,0.257312715
589,0.252921611
590,0.249501348
591,0.247567087
592,0.247777358
